"id","obsDay","currentMood","period","treatment"
41,49,10,NA,NA
40,49,6,"b",0
53,50,4,NA,NA
58,98,7,NA,NA
59,98,10,"b",0
60,98,10,NA,NA
63,98,10,NA,NA
64,99,8,NA,NA
56,104,5,NA,NA
69,104,10,NA,NA
72,110,3,NA,NA
50,111,6,NA,NA
75,117,10,"b",0
81,134,5,NA,NA
82,134,6,"b",0
83,137,9,NA,NA
85,137,10,NA,NA
74,137,7,NA,NA
71,NA,10,NA,NA
