"id","obsDay","duration_hr"
59,113,0.35
59,147,0.183333333333333
59,154,0.216666666666667
59,185,5.9
59,192,0.0833333333333333
39,105,2.56666666666667
39,106,0.866666666666667
39,107,1.85
39,110,1.21666666666667
39,111,0.55
39,117,0.0666666666666667
39,118,0.0166666666666667
39,119,0.0333333333333333
39,123,0.566666666666667
39,139,0.366666666666667
39,158,0.383333333333333
39,170,0.05
39,172,1.03333333333333
39,177,0.0333333333333333
39,185,3.25
39,192,7.96666666666667
39,214,2.51666666666667
39,218,1.68333333333333
39,263,2.95
39,294,1.18333333333333
19,115,0.85
19,117,0.166666666666667
19,127,0.55
19,128,0.0166666666666667
19,142,0.8
44,105,1.08333333333333
44,119,0.883333333333333
44,142,0.683333333333333
44,158,0.35
44,172,0.466666666666667
44,185,5.51666666666667
44,193,0.166666666666667
44,214,0.966666666666667
44,294,0.2
44,296,0.216666666666667
33,130,1.45
33,145,0.0333333333333333
82,158,3.4
82,192,8.98333333333333
18,116,0.0666666666666667
6,35,0.883333333333333
6,40,0.116666666666667
6,43,0.316666666666667
6,49,2.1
6,50,7.35
6,51,0.25
6,54,0.85
6,96,14.55
6,105,2.16666666666667
6,127,0.266666666666667
40,126,2.26666666666667
40,142,4.3
17,107,0.05
17,113,2.66666666666667
75,139,0.616666666666667
75,141,0.916666666666667
75,145,0.216666666666667
75,153,1.1
75,158,0.633333333333333
75,161,0.3
75,179,0
75,186,0.133333333333333
75,208,0.133333333333333
75,216,0.866666666666667
4,35,0.466666666666667
4,37,0.0166666666666667
4,42,0.0166666666666667
4,43,0.0166666666666667
4,49,0.9
4,54,1.4
4,105,0.416666666666667
4,113,0.25
4,127,1.28333333333333
45,105,2.51666666666667
45,115,0.833333333333333
45,116,1.73333333333333
45,130,7
45,145,2.31666666666667
45,151,0.0833333333333333
45,158,1.9
45,172,3.56666666666667
45,185,3.9
45,192,0.0166666666666667
45,194,0.5
45,217,0.0333333333333333
45,221,2.2
45,270,0
45,271,0.0166666666666667
45,283,1.03333333333333
45,284,7.6
2,49,1.23333333333333
2,50,0.533333333333333
2,54,0
2,98,0.216666666666667
2,105,1.28333333333333
2,113,0.183333333333333
2,114,0.216666666666667
2,127,0.733333333333333
2,147,0.283333333333333
